status_id,text,relevant_ra,relevant_gpt,relevant_gpt4
1212265682634604544,ONCE !     Update : the police are still investigating so please dont report his account anymore   Tweets are needed for his further actions   Just unfollow and block,1,0,1
1212425759421292546,"The release of these updated terms comes days after investigative reporting outlet Project Veritas had its ads account banned over a video exposing Twitter’s shadow banning practices. This video, which was originally posted in 2018, featured a former Twitter software engineer.",1,1,1
1217297045108723713,My account would get suspended if I said what I actually want to say about you Jonathan. https://t.co/sxE4cF6SbG,1,0,1
1221020543417233408,- Huawei Prepared for Any Further U.S. “Attacks”   - Google and IBM have both called for global regulations on AI  - Social media use not linked to poor mental health  - Spotify is testing letting influencers post stories to introduce their own playlists    https://t.co/BOv2kYNIjf,0,1,0
1223437508014493696,Here in Ontario there’s many people that voted for Ford that have been affected by his cuts. But thats what you get for voting in a guy with no policies or platform. It’s a free ticket to do whatever they want. I’m still very angry with those people to this day. https://t.co/eorzzbmhv2,0,0,0
1227230491729895426,"Block kardia tha mene, tou fake account bhi tou bana k msg kar sktay thay na",0,1,0
1234881495824646144,"For @newyorker, I wrote about Brad Parscale and how the Trump campaign is winning on social media.    ""You don’t need to be a genius. You don’t even need to break the rules. An average person...can use Facebook to help a demagogue win a national election.”     https://t.co/jaaB1vRtji",0,1,0
1244264765242949633,"@Reflog_18 100 percent fake news, I have friend who lives in Cleveland who absolutely denied it and said that on the contrary, Ohio’s governor is doing an amazing job implementing social distancing rules. People need to be more responsible circulating fake news on social media.",0,0,0
1247248641045065728,"As she often does, @SenWarren provides a cogent summary of how federal policymakers should be thinking about the pandemic in the coming months. https://t.co/zkX0E7ncK5",0,0,0
1247708027295272960,I saw it because when i logged in here i saw yall fired up so i searched and ended up seeing that. I reported the account already and i think it is already suspended,1,1,1
1248242675666391040,"FYI: @Twitter suspends accounts defending Philippine government response to the pandemic    The accounts were found to be in violation of Twitter’s platform manipulation and spam policies, the social media site told The Washington Post in an email.     https://t.co/u4I36sieuu https://t.co/5UeJRYiZO7",1,1,1
1252390485760421897,"Joint statement ACC/ACEP/SIAC on ACS Management #COVID19 https://t.co/XLKmG0c2Tr    ""primary PCI remains the standard of care for STEMI patients at PCI capable hospitals when it can be provided in a timely fashion, with an expert team outfitted with PPE""    Thank you @amalmattu https://t.co/KEYVF3GVMj",0,0,0
1255873771728261126,"“The most important elections we’ve had...are the ones where someone came in &amp; really went against the status quo, presenting an opportunity for the country to recenter itself” @justinamash said. “I think that we have that opportunity here.” @brad_polumbo https://t.co/mGRbKjYfDa",0,0,0
1256639676993028096,@DonaldJTrumpJr @RealCandaceO @Twitter No! Fake publicity stunt! Candace Owens account is working Now go look at it and it’s been working fine all day never suspended! Fake news. It’s interesting Candace and Trump sent this to all the news and influencers https://t.co/oPR9UJaaBC,1,0,1
1259231738670309382,#Facebook has banned the iconic photograph of a #Soviet solider waving the #USSR flag over the #Reichstag in May 1945. The social network claims the image violates its community guidelines for dangerous people and organizations...    MORE: https://t.co/arpDN9Ss0P https://t.co/KGtGwE4D5J,1,1,1
1259236748363784192,#Facebook has banned the iconic photograph of a #Soviet solider waving the #USSR flag over the #Reichstag in May 1945. The social network claims the image violates its community guidelines for dangerous people and organizations...    MORE: https://t.co/arpDN9Ss0P https://t.co/KGtGwE4D5J,1,1,1
1259247601955803136,#Facebook has banned the iconic photograph of a #Soviet solider waving the #USSR flag over the #Reichstag in May 1945. The social network claims the image violates its community guidelines for dangerous people and organizations...    MORE: https://t.co/arpDN9Ss0P https://t.co/KGtGwE4D5J,1,1,1
1259262243801378816,#Facebook has banned the iconic photograph of a #Soviet solider waving the #USSR flag over the #Reichstag in May 1945. The social network claims the image violates its community guidelines for dangerous people and organizations...    MORE: https://t.co/arpDN9Ss0P https://t.co/KGtGwE4D5J,1,1,1
1260386355021926400,"Dear @TwitterSupport     One of your users, @realDonaldTrump, accused another one of your users, @JoeNBC of committing murder on your site today. As is the custom with user Trump he has no evidence and it's a clear case of slander.     Can you delete the tweet and suspend the user?",1,1,1
1264035546084642817,The SAT/ACT is officially SUSPENDED FOR FOUR YEARS FOR THE UC’s! What that means is that students from low income areas can actually have a greater chance of applying and being accepted! Class of 2021 apply to your heart’s content PLEASE!,0,0,0
1264247462841274372,He wants to silence the truth.      Trump mulls forming panel to investigate anticonservative bias on social media:     https://t.co/fVW4OCt54q,1,1,1
1264695108764655616,I give you 3s to enjoy Bobby’s visual     @bobbyranika #BOBBY #바비 @YG_IKONIC #iKON #아이콘   https://t.co/5MqynRgOgE,0,0,0
1268241540503257088,This man started an account where he tweets exactly what the president tweets. He just got suspended. https://t.co/KPd9Od1zTE,1,1,1
1277264800679165955,"The money will probably be back this week, but the reputational damage will last.    The scam that is selling other people’s content without any meaningful moderation around hate and disinformation is up. This is just the beginning of a much larger reckoning.    #StopHateForProfit https://t.co/VaGGlGYkJv",1,1,1
1280184417131077634,"@jackthemean1 @ritholtz @DougKass @RiskReversal @tomkeene @ScottWapnerCNBC @epsilon I’m not sure where you’re getting your data, but the US has the 7th worst death rate in the world. Apparently @DougKass blocked you and you created this account to say more stupid shit to him.",0,0,0
1283080462953582593,"IG will block quality wholesome cannabis content, but I have seen someone shot on the gram.... the post is still up on that page....and doesn’t violate guidelines     Welp. I guess I’ll keep posting until they deactivate me",1,1,1
